<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.10.20	1642.97	1644.56	1603.52	1621.73	62883	0	70
2011.10.21	1619.24	1648.32	1611.20	1641.77	52974	0	70
2011.10.24	1638.80	1661.87	1635.28	1653.36	50228	0	0
2011.10.25	1652.73	1708.73	1643.54	1704.59	53172	0	70
2011.10.26	1705.38	1726.46	1694.73	1724.14	53934	0	70
2011.10.27	1723.13	1749.72	1705.82	1744.28	56922	0	70
2011.10.28	1744.85	1752.22	1732.17	1743.07	48636	0	70
2011.10.31	1741.49	1744.76	1704.14	1713.95	54161	0	70
2011.11.01	1710.93	1723.96	1680.97	1719.15	55272	0	70
2011.11.02	1715.47	1744.00	1714.15	1735.59	50653	0	70
2011.11.03	1738.85	1767.41	1722.55	1763.07	51937	0	70
2011.11.04	1759.63	1763.61	1748.80	1754.18	45819	0	70
2011.11.07	1753.00	1798.18	1752.80	1794.77	46463	0	70
2011.11.08	1794.05	1802.79	1776.66	1785.25	46849	0	70
2011.11.09	1786.01	1799.55	1763.70	1770.67	56077	0	70
2011.11.10	1770.44	1775.20	1735.47	1758.18	56627	0	70
2011.11.11	1757.39	1788.45	1744.06	1787.98	46713	0	70
2011.11.14	1787.96	1796.01	1773.60	1780.12	46490	0	70
2011.11.15	1780.17	1786.04	1760.07	1781.15	51571	0	70
2011.11.16	1780.58	1783.37	1753.09	1762.98	57110	0	70
2011.11.17	1763.67	1766.79	1710.32	1721.15	59902	0	70
2011.11.18	1722.48	1737.38	1710.59	1723.60	52611	0	70
2011.11.21	1722.09	1726.23	1666.33	1677.18	61740	0	70
2011.11.22	1678.23	1705.35	1667.73	1699.57	58385	0	70
2011.11.23	1699.52	1709.97	1677.06	1692.42	56955	0	70
2011.11.24	1691.14	1701.67	1687.44	1694.67	33485	0	70
2011.11.25	1693.79	1697.73	1671.84	1682.33	44297	0	50
2011.11.28	1687.71	1720.46	1686.84	1712.21	52245	0	50
2011.11.29	1710.87	1719.84	1703.48	1715.05	49956	0	50
2011.11.30	1715.63	1749.93	1700.70	1746.03	58799	0	50
2011.12.01	1747.83	1754.12	1733.50	1744.49	52149	0	50
2011.12.02	1745.32	1763.03	1737.91	1745.82	48977	0	50
2011.12.05	1750.16	1754.50	1717.70	1722.71	55787	0	50
2011.12.06	1722.37	1732.85	1701.95	1728.65	59554	0	50
2011.12.07	1727.12	1742.64	1719.95	1741.60	52071	0	50
2011.12.08	1741.57	1755.87	1703.78	1707.94	55200	0	50
2011.12.09	1705.77	1723.71	1703.05	1710.48	56433	0	100
2011.12.12	1713.53	1714.48	1657.28	1666.51	58222	0	50
2011.12.13	1664.41	1677.70	1622.16	1631.42	65548	0	50
2011.12.14	1627.62	1641.35	1563.56	1573.40	74935	0	50
2011.12.15	1577.82	1593.71	1560.08	1569.41	69101	0	50
2011.12.16	1571.38	1600.86	1570.99	1598.64	60041	0	50
2011.12.19	1601.92	1608.65	1583.25	1593.86	58478	0	50
2011.12.20	1592.92	1618.35	1592.11	1614.55	49735	0	50
2011.12.21	1614.91	1641.61	1605.65	1614.81	50179	0	50
2011.12.22	1613.80	1616.75	1597.69	1605.73	49420	0	50
2011.12.23	1607.41	1613.71	1602.58	1606.56	29734	0	50
2011.12.27	1605.06	1605.43	1589.47	1593.01	33050	0	50
2011.12.28	1589.58	1592.86	1549.55	1555.75	48073	0	50
2011.12.29	1556.20	1561.00	1522.64	1545.38	50727	0	50
2011.12.30	1546.71	1581.27	1546.47	1563.95	44912	0	50
